a, Fruling'
2.41225 , 15.5129
2.41325 , 15.5292
2.41425 , 15.5455
2.41525 , 15.5618
2.41625 , 15.5781
2.41725 , 15.5944
2.41825 , 15.6107
2.41925 , 15.6269
2.42025 , 15.6431
2.42125 , 15.6594
2.42225 , 15.6756
2.42325 , 15.6918
2.42425 , 15.7079
2.42525 , 15.7241
2.42625 , 15.7403
2.42725 , 15.7564
2.42825 , 15.7725
2.42925 , 15.7886
2.43025 , 15.8047
2.43125 , 15.8208
2.43225 , 15.8369
2.43325 , 15.8529
2.43425 , 15.869
2.43525 , 15.885
2.43625 , 15.901
2.43725 , 15.917
2.43825 , 15.933
2.43925 , 15.949
2.44025 , 15.9649
2.44125 , 15.9809
2.44225 , 15.9968
2.44325 , 16.0127
2.44425 , 16.0286
2.44525 , 16.0445
2.44625 , 16.0603
2.44725 , 16.0762
2.44825 , 16.092
2.44925 , 16.1078
2.45025 , 16.1237
2.45125 , 16.1394
2.45225 , 16.1552
2.45325 , 16.171
2.45425 , 16.1867
2.45525 , 16.2025
2.45625 , 16.2182
2.45725 , 16.2339
2.45825 , 16.2496
2.45925 , 16.2653
2.46025 , 16.2809
2.46125 , 16.2966
2.46225 , 16.3122
2.46325 , 16.3278
2.46425 , 16.3434
2.46525 , 16.359
2.46625 , 16.3746
2.46725 , 16.3901
2.46825 , 16.4056
2.46925 , 16.4212
2.47025 , 16.4367
2.47125 , 16.4522
2.47225 , 16.4676
2.47325 , 16.4831
2.47425 , 16.4985
2.47525 , 16.514
2.47625 , 16.5294
2.47725 , 16.5448
2.47825 , 16.5602
2.47925 , 16.5755
2.48025 , 16.5909
2.48125 , 16.6062
2.48225 , 16.6215
2.48325 , 16.6368
2.48425 , 16.6521
2.48525 , 16.6674
2.48625 , 16.6827
2.48725 , 16.6979
2.48825 , 16.7131
2.48925 , 16.7283
2.49025 , 16.7435
2.49125 , 16.7587
2.49225 , 16.7739
2.49325 , 16.789
2.49425 , 16.8041
2.49525 , 16.8192
2.49625 , 16.8343
2.49725 , 16.8494
2.49825 , 16.8645
2.49925 , 16.8795
