a, Eruling,,a, Eruling
0.581,315.427,,3.72259,312.059
0.582,315.413,,3.72359,312.013
0.583,315.398,,3.72459,311.967
0.584,315.383,,3.72559,311.922
0.585,315.368,,3.72659,311.875
0.586,315.354,,3.72759,311.829
0.587,315.339,,3.72859,311.783
0.588,315.324,,3.72959,311.736
0.589,315.309,,3.73059,311.69
0.59,315.294,,3.73159,311.643
0.591,315.279,,3.73259,311.596
0.592,315.264,,3.73359,311.549
0.593,315.249,,3.73459,311.502
0.594,315.234,,3.73559,311.454
0.595,315.219,,3.73659,311.407
0.596,315.204,,3.73759,311.359
0.597,315.189,,3.73859,311.311
0.598,315.174,,3.73959,311.263
0.599,315.158,,3.74059,311.215
0.6,315.143,,3.74159,311.167
0.601,315.128,,3.74259,311.118
0.602,315.113,,3.74359,311.07
0.603,315.097,,3.74459,311.021
0.604,315.082,,3.74559,310.972
0.605,315.067,,3.74659,310.923
0.606,315.051,,3.74759,310.874
0.607,315.036,,3.74859,310.825
0.608,315.02,,3.74959,310.775
0.609,315.005,,3.75059,310.726
0.61,314.989,,3.75159,310.676
0.611,314.974,,3.75259,310.626
0.612,314.958,,3.75359,310.576
0.613,314.942,,3.75459,310.526
0.614,314.927,,3.75559,310.476
0.615,314.911,,3.75659,310.425
0.616,314.895,,3.75759,310.374
0.617,314.879,,3.75859,310.324
0.618,314.864,,3.75959,310.273
0.619,314.848,,3.76059,310.221
0.62,314.832,,3.76159,310.17
0.621,314.816,,3.76259,310.119
0.622,314.8,,3.76359,310.067
0.623,314.784,,3.76459,310.015
0.624,314.768,,3.76559,309.963
0.625,314.752,,3.76659,309.911
0.626,314.736,,3.76759,309.859
0.627,314.72,,3.76859,309.807
0.628,314.704,,3.76959,309.754
0.629,314.688,,3.77059,309.701
0.63,314.672,,3.77159,309.649
0.631,314.655,,3.77259,309.596
0.632,314.639,,3.77359,309.542
0.633,314.623,,3.77459,309.489
0.634,314.606,,3.77559,309.435
0.635,314.59,,3.77659,309.382
0.636,314.574,,3.77759,309.328
0.637,314.557,,3.77859,309.274
0.638,314.541,,3.77959,309.22
0.639,314.524,,3.78059,309.165
0.64,314.508,,3.78159,309.111
0.641,314.491,,3.78259,309.056
0.642,314.475,,3.78359,309.001
0.643,314.458,,3.78459,308.946
0.644,314.441,,3.78559,308.891
0.645,314.425,,3.78659,308.836
0.646,314.408,,3.78759,308.78
0.647,314.391,,3.78859,308.725
0.648,314.375,,3.78959,308.669
0.649,314.358,,3.79059,308.613
0.65,314.341,,3.79159,308.556
0.651,314.324,,3.79259,308.5
0.652,314.307,,3.79359,308.443
0.653,314.29,,3.79459,308.387
0.654,314.273,,3.79559,308.33
0.655,314.256,,3.79659,308.273
0.656,314.239,,3.79759,308.216
0.657,314.222,,3.79859,308.158
0.658,314.205,,3.79959,308.101
0.659,314.188,,3.80059,308.043
0.66,314.17,,3.80159,307.985
0.661,314.153,,3.80259,307.927
0.662,314.136,,3.80359,307.868
0.663,314.119,,3.80459,307.81
0.664,314.101,,3.80559,307.751
0.665,314.084,,3.80659,307.692
0.666,314.067,,3.80759,307.633
0.667,314.049,,3.80859,307.574
0.668,314.032,,3.80959,307.515
0.669,314.014,,3.81059,307.455
0.67,313.997,,3.81159,307.395
0.671,313.979,,3.81259,307.335
0.672,313.961,,3.81359,307.275
0.673,313.944,,3.81459,307.215
0.674,313.926,,3.81559,307.155
0.675,313.908,,3.81659,307.094
0.676,313.891,,3.81759,307.033
0.677,313.873,,3.81859,306.972
0.678,313.855,,3.81959,306.911
0.679,313.837,,3.82059,306.849
0.68,313.819,,3.82159,306.788
0.681,313.801,,3.82259,306.726
0.682,313.783,,3.82359,306.664
0.683,313.765,,3.82459,306.602
0.684,313.747,,3.82559,306.539
0.685,313.729,,3.82659,306.477
0.686,313.711,,3.82759,306.414
0.687,313.693,,3.82859,306.351
0.688,313.675,,3.82959,306.288
0.689,313.657,,3.83059,306.224
0.69,313.638,,3.83159,306.161
0.691,313.62,,3.83259,306.097
0.692,313.602,,3.83359,306.033
0.693,313.583,,3.83459,305.969
0.694,313.565,,3.83559,305.905
0.695,313.546,,3.83659,305.84
0.696,313.528,,3.83759,305.776
0.697,313.51,,3.83859,305.711
0.698,313.491,,3.83959,305.645
0.699,313.472,,3.84059,305.58
0.7,313.454,,3.84159,305.515
0.701,313.435,,3.84259,305.449
0.702,313.416,,3.84359,305.383
0.703,313.398,,3.84459,305.317
0.704,313.379,,3.84559,305.25
0.705,313.36,,3.84659,305.184
0.706,313.341,,3.84759,305.117
0.707,313.322,,3.84859,305.05
0.708,313.303,,3.84959,304.983
0.709,313.284,,3.85059,304.916
0.71,313.265,,3.85159,304.848
0.711,313.246,,3.85259,304.78
0.712,313.227,,3.85359,304.712
0.713,313.208,,3.85459,304.644
0.714,313.189,,3.85559,304.575
0.715,313.17,,3.85659,304.507
0.716,313.151,,3.85759,304.438
0.717,313.131,,3.85859,304.369
0.718,313.112,,3.85959,304.299
0.719,313.093,,3.86059,304.23
0.72,313.073,,3.86159,304.16
0.721,313.054,,3.86259,304.09
0.722,313.035,,3.86359,304.02
0.723,313.015,,3.86459,303.95
0.724,312.996,,3.86559,303.879
0.725,312.976,,3.86659,303.808
0.726,312.956,,3.86759,303.737
0.727,312.937,,3.86859,303.666
0.728,312.917,,3.86959,303.594
0.729,312.897,,3.87059,303.523
0.73,312.878,,3.87159,303.451
0.731,312.858,,3.87259,303.378
0.732,312.838,,3.87359,303.306
0.733,312.818,,3.87459,303.233
0.734,312.798,,3.87559,303.16
0.735,312.778,,3.87659,303.087
0.736,312.758,,3.87759,303.014
0.737,312.738,,3.87859,302.941
0.738,312.718,,3.87959,302.851
0.739,312.698,,3.88059,302.755
0.74,312.678,,3.88159,302.659
0.741,312.658,,3.88259,302.563
0.742,312.637,,3.88359,302.466
0.743,312.617,,3.88459,302.369
0.744,312.597,,3.88559,302.271
0.745,312.576,,3.88659,302.174
0.746,312.556,,3.88759,302.076
0.747,312.536,,3.88859,301.978
0.748,312.515,,3.88959,301.879
0.749,312.495,,3.89059,301.78
0.75,312.474,,3.89159,301.681
0.751,312.453,,3.89259,301.582
0.752,312.433,,3.89359,301.482
0.753,312.412,,3.89459,301.382
0.754,312.391,,3.89559,301.282
0.755,312.371,,3.89659,301.181
0.756,312.35,,3.89759,301.081
0.757,312.329,,3.89859,300.979
0.758,312.308,,3.89959,300.878
0.759,312.287,,3.90059,300.776
0.76,312.266,,3.90159,300.674
0.761,312.245,,3.90259,300.572
0.762,312.224,,3.90359,300.469
0.763,312.203,,3.90459,300.366
0.764,312.182,,3.90559,300.263
0.765,312.161,,3.90659,300.159
0.766,312.14,,3.90759,300.055
0.767,312.118,,3.90859,299.951
0.768,312.097,,3.90959,299.846
0.769,312.076,,3.91059,299.741
0.77,312.054,,3.91159,299.636
0.771,312.033,,3.91259,299.531
